engine_id,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,predicted_rul_capped_raw,predicted_rul_capped,actual_rul,actual_rul_capped,high_risk_probability,expected_failure_loss,maintenance_cost,failure_cost,break_even_probability,financial_benefit,maintenance_economically_justified,economic_action
14,46,0.0013,-0.0002,100.0,518.67,642.91,1591.39,1408.35,14.62,21.61,553.75,2388.17,9037.35,1.3,47.57,520.66,2388.1,8118.1,8.4233,0.03,393,2388,100.0,38.69,23.2603,106.64633424231393,106.64633424231393,107,107,0.0003352800910618743,13.411203642474973,8000,40000,0.2,-7986.588796357525,False,Continue / monitor
15,76,-0.0012,-0.0,100.0,518.67,642.49,1589.21,1400.61,14.62,21.61,554.08,2388.1,9056.1,1.3,47.25,522.12,2388.11,8139.75,8.4067,0.03,392,2388,100.0,39.17,23.4085,120.08034319876312,120.08034319876312,83,83,7.477672250326342e-05,2.991068900130537,8000,40000,0.2,-7997.008931099869,False,Continue / monitor
16,113,-0.0005,0.0002,100.0,518.67,642.99,1587.03,1401.0,14.62,21.61,554.6,2388.08,9059.75,1.3,47.37,521.77,2388.08,8147.4,8.4299,0.03,391,2388,100.0,38.81,23.304,111.71003018937883,111.71003018937883,84,84,0.00019046015281060384,7.618406112424154,8000,40000,0.2,-7992.381593887576,False,Continue / monitor
17,165,0.0009,-0.0001,100.0,518.67,642.9,1599.17,1412.54,14.62,21.61,553.49,2388.06,9094.72,1.3,47.55,521.52,2388.03,8171.98,8.4319,0.03,394,2388,100.0,38.7,23.2948,52.008017594063496,52.008017594063496,50,50,0.13050127003002537,5220.050801201015,8000,40000,0.2,-2779.949198798985,False,Continue / monitor
18,133,0.0007,0.0001,100.0,518.67,643.0,1600.45,1419.18,14.62,21.61,553.36,2388.14,9056.09,1.3,47.7,521.06,2388.19,8136.8,8.4418,0.03,395,2388,100.0,38.71,23.2637,70.69083562744436,70.69083562744436,28,28,0.01827815608245296,731.1262432981184,8000,40000,0.2,-7268.873756701882,False,Continue / monitor
19,135,0.0004,0.0003,100.0,518.67,642.79,1588.88,1406.32,14.62,21.61,553.87,2388.1,9055.54,1.3,47.35,521.48,2388.06,8140.2,8.4768,0.03,393,2388,100.0,38.83,23.3297,109.25650044961385,109.25650044961385,87,87,0.0002505022846357592,10.020091385430367,8000,40000,0.2,-7989.9799086145695,False,Continue / monitor
20,184,-0.0006,-0.0004,100.0,518.67,643.75,1595.12,1419.6,14.62,21.61,552.19,2388.14,9066.49,1.3,48.13,520.64,2388.21,8138.86,8.469,0.03,395,2388,100.0,38.35,23.0242,20.901104891605897,20.901104891605897,16,16,0.8289828511211971,33159.31404484788,8000,40000,0.2,25159.31404484788,True,Preventative maintenance
21,148,0.0052,0.0005,100.0,518.67,642.66,1592.32,1403.77,14.62,21.61,553.86,2388.06,9087.25,1.3,47.46,522.02,2388.07,8168.51,8.441,0.03,392,2388,100.0,38.74,23.4982,68.97024425329141,68.97024425329141,57,57,0.02206623872861645,882.6495491446581,8000,40000,0.2,-7117.3504508553415,False,Continue / monitor
22,39,-0.0,-0.0005,100.0,518.67,642.5,1583.42,1410.16,14.62,21.61,554.04,2388.09,9055.41,1.3,47.36,521.77,2388.11,8133.12,8.4143,0.03,392,2388,100.0,38.97,23.3058,116.60623173167097,116.60623173167097,111,111,0.00011022965910340994,4.4091863641363975,8000,40000,0.2,-7995.590813635864,False,Continue / monitor
23,130,-0.0006,0.0003,100.0,518.67,642.03,1588.77,1403.06,14.62,21.61,554.15,2388.05,9051.1,1.3,47.22,521.83,2388.08,8133.6,8.4249,0.03,392,2388,100.0,38.97,23.2815,122.08799876716876,122.08799876716876,113,113,5.975455402487997e-05,2.3901821609951988,8000,40000,0.2,-7997.609817839005,False,Continue / monitor
24,186,-0.0004,0.0002,100.0,518.67,643.28,1593.82,1415.13,14.62,21.61,553.78,2388.08,9148.56,1.3,47.7,520.69,2388.07,8211.21,8.4785,0.03,393,2388,100.0,38.72,23.2093,25.012115907294938,25.012115907294938,20,20,0.7538388903358466,30153.555613433866,8000,40000,0.2,22153.555613433866,True,Preventative maintenance
25,48,0.0019,-0.0004,100.0,518.67,642.92,1584.08,1403.1,14.62,21.61,553.55,2388.08,9046.2,1.3,47.38,521.75,2388.07,8132.18,8.4422,0.03,394,2388,100.0,38.9,23.3876,118.70733737449775,118.70733737449775,145,125,8.71711516036415e-05,3.4868460641456602,8000,40000,0.2,-7996.5131539358545,False,Continue / monitor
26,76,-0.002,0.0003,100.0,518.67,642.31,1580.98,1402.4,14.62,21.61,554.45,2388.02,9074.01,1.3,47.4,521.93,2387.98,8151.64,8.4331,0.03,392,2388,100.0,38.89,23.366,110.55141701816164,110.55141701816164,119,119,0.00021677196954034256,8.670878781613702,8000,40000,0.2,-7991.329121218387,False,Continue / monitor
27,140,0.0038,0.0005,100.0,518.67,642.56,1586.56,1407.16,14.62,21.61,553.3,2388.06,9049.45,1.3,47.44,521.64,2388.14,8124.15,8.44,0.03,392,2388,100.0,38.9,23.185,120.15104441348278,120.15104441348278,66,66,7.418850051104509e-05,2.9675400204418034,8000,40000,0.2,-7997.032459979559,False,Continue / monitor
28,158,-0.0002,0.0,100.0,518.67,642.86,1590.81,1405.28,14.62,21.61,553.26,2388.1,9065.84,1.3,47.59,521.63,2388.11,8134.63,8.4564,0.03,393,2388,100.0,38.86,23.2826,102.0807752379802,102.0807752379802,97,97,0.0005582261808526892,22.329047234107566,8000,40000,0.2,-7977.670952765892,False,Continue / monitor
29,171,-0.0002,-0.0001,100.0,518.67,642.53,1585.72,1405.88,14.62,21.61,553.29,2388.08,9074.11,1.3,47.26,521.57,2388.07,8147.27,8.4202,0.03,393,2388,100.0,38.98,23.1975,102.70693525667699,102.70693525667699,90,90,0.0005205329921065483,20.82131968426193,8000,40000,0.2,-7979.178680315738,False,Continue / monitor
30,143,-0.0036,0.0,100.0,518.67,642.54,1599.22,1408.62,14.62,21.61,553.01,2388.12,9057.71,1.3,47.61,521.32,2388.13,8135.44,8.4829,0.03,393,2388,100.0,38.78,23.3175,100.75279991023496,100.75279991023496,115,115,0.000647438479741802,25.89753918967208,8000,40000,0.2,-7974.102460810328,False,Continue / monitor
31,196,-0.0005,0.0001,100.0,518.67,643.31,1598.19,1420.66,14.62,21.61,551.48,2388.18,9090.98,1.3,47.78,519.55,2388.22,8157.84,8.5015,0.03,395,2388,100.0,38.53,23.1105,17.01256736651237,17.01256736651237,8,8,0.8821371829528044,35285.48731811217,8000,40000,0.2,27285.487318112173,True,Preventative maintenance
32,145,-0.0033,-0.0001,100.0,518.67,642.96,1587.37,1406.22,14.62,21.61,553.84,2388.05,9105.13,1.3,47.48,522.3,2388.05,8173.9,8.438,0.03,394,2388,100.0,38.84,23.3456,47.849472413396875,47.849472413396875,48,48,0.19279026368211102,7711.610547284441,8000,40000,0.2,-288.38945271555895,False,Continue / monitor
33,50,0.0005,0.0005,100.0,518.67,642.42,1579.36,1416.53,14.62,21.61,553.56,2388.14,9059.56,1.3,47.61,520.95,2388.11,8134.27,8.4463,0.03,392,2388,100.0,38.73,23.2843,97.85574783864584,97.85574783864584,106,106,0.000894627655843872,35.78510623375488,8000,40000,0.2,-7964.214893766245,False,Continue / monitor
34,203,-0.0011,-0.0001,100.0,518.67,643.74,1600.38,1427.49,14.62,21.61,551.77,2388.29,9036.27,1.3,48.13,519.44,2388.25,8122.11,8.5158,0.03,397,2388,100.0,38.62,23.0641,7.370098925894427,7.370098925894427,7,7,0.9564780074689225,38259.1202987569,8000,40000,0.2,30259.120298756898,True,Preventative maintenance
35,198,-0.0047,-0.0003,100.0,518.67,643.4,1602.02,1428.42,14.62,21.61,551.76,2388.26,9079.88,1.3,48.1,519.81,2388.22,8153.85,8.5141,0.03,395,2388,100.0,38.63,23.1161,8.740702682247274,8.740702682247274,11,11,0.9496397507828562,37985.59003131425,8000,40000,0.2,29985.59003131425,True,Preventative maintenance
36,126,-0.0018,-0.0002,100.0,518.67,642.94,1599.19,1418.98,14.62,21.61,552.32,2388.16,9056.3,1.3,47.94,520.01,2388.22,8136.96,8.5259,0.03,394,2388,100.0,38.54,23.1534,19.262881432054776,19.262881432054776,19,19,0.8533902228356731,34135.60891342693,8000,40000,0.2,26135.608913426928,True,Preventative maintenance
37,121,-0.0006,0.0002,100.0,518.67,643.34,1593.15,1413.38,14.62,21.61,552.56,2388.18,9041.71,1.3,47.69,520.69,2388.15,8119.07,8.4944,0.03,394,2388,100.0,38.76,23.2145,63.78065660385867,63.78065660385867,21,21,0.03872922695494216,1549.1690781976863,8000,40000,0.2,-6450.830921802313,False,Continue / monitor
38,125,-0.0015,-0.0003,100.0,518.67,643.04,1588.23,1404.91,14.62,21.61,553.09,2388.14,9086.18,1.3,47.86,520.91,2388.15,8160.76,8.4695,0.03,393,2388,100.0,38.78,23.1739,47.481035074400445,47.481035074400445,50,50,0.19927651044264685,7971.060417705874,8000,40000,0.2,-28.939582294126012,False,Continue / monitor
39,37,0.0004,0.0003,100.0,518.67,642.09,1581.58,1402.17,14.62,21.61,554.03,2388.02,9061.91,1.3,47.2,521.94,2388.0,8147.31,8.3904,0.03,393,2388,100.0,38.82,23.3721,117.23903465587355,117.23903465587355,142,125,0.0001027072569181337,4.108290276725348,8000,40000,0.2,-7995.891709723274,False,Continue / monitor
40,133,-0.0036,-0.0005,100.0,518.67,643.2,1603.15,1420.48,14.62,21.61,552.57,2388.17,9066.45,1.3,47.84,520.41,2388.17,8143.07,8.47,0.03,396,2388,100.0,38.58,23.0906,24.427469713064948,24.427469713064948,28,28,0.76575659053493,30630.263621397196,8000,40000,0.2,22630.263621397196,True,Preventative maintenance
41,123,-0.0018,0.0001,100.0,518.67,642.54,1594.24,1416.76,14.62,21.61,553.02,2388.19,9036.88,1.3,47.64,520.61,2388.2,8115.82,8.4533,0.03,395,2388,100.0,38.84,23.1718,73.6240432939321,73.6240432939321,18,18,0.013238860895534789,529.5544358213915,8000,40000,0.2,-7470.445564178608,False,Continue / monitor
42,156,-0.0004,-0.0,100.0,518.67,643.31,1599.55,1425.12,14.62,21.61,550.94,2388.27,9026.89,1.3,47.89,520.54,2388.27,8118.45,8.4792,0.03,395,2388,100.0,38.51,23.094,15.252246918084495,15.252246918084495,10,10,0.9010969271449849,36043.877085799395,8000,40000,0.2,28043.877085799395,True,Preventative maintenance
43,172,-0.003,0.0003,100.0,518.67,642.77,1594.19,1418.4,14.62,21.61,552.25,2388.13,9052.93,1.3,47.6,520.86,2388.16,8135.46,8.4456,0.03,394,2388,100.0,38.63,23.2379,72.48600013608988,72.48600013608988,59,59,0.015006670114161567,600.2668045664627,8000,40000,0.2,-7399.733195433537,False,Continue / monitor
44,54,0.0001,0.0002,100.0,518.67,642.49,1582.3,1415.29,14.62,21.61,552.97,2388.13,9057.77,1.3,47.52,521.73,2388.1,8131.44,8.4391,0.03,392,2388,100.0,38.85,23.3058,102.05338279285455,102.05338279285455,109,109,0.0005599360248729848,22.397440994919393,8000,40000,0.2,-7977.60255900508,False,Continue / monitor
45,152,0.0044,0.0002,100.0,518.67,642.75,1598.59,1410.33,14.62,21.61,553.2,2388.15,9067.31,1.3,47.57,520.76,2388.15,8140.56,8.4695,0.03,394,2388,100.0,38.58,23.312,82.8584862119845,82.8584862119845,114,114,0.004759432921435531,190.37731685742125,8000,40000,0.2,-7809.622683142578,False,Continue / monitor
46,146,-0.0005,-0.0003,100.0,518.67,642.79,1594.28,1413.17,14.62,21.61,552.73,2388.12,9080.61,1.3,47.74,520.97,2388.11,8153.86,8.4628,0.03,393,2388,100.0,38.61,23.1876,40.80960325704952,40.80960325704952,47,47,0.34399231860129986,13759.692744051994,8000,40000,0.2,5759.692744051994,True,Preventative maintenance
47,73,0.0019,-0.0003,100.0,518.67,642.73,1587.09,1402.79,14.62,21.61,553.05,2388.16,9038.32,1.3,47.44,521.29,2388.14,8125.57,8.4586,0.03,392,2388,100.0,38.79,23.2595,112.91946222489405,112.91946222489405,135,125,0.00016639438496923191,6.6557753987692765,8000,40000,0.2,-7993.344224601231,False,Continue / monitor
48,78,0.0022,-0.0003,100.0,518.67,642.77,1591.34,1402.73,14.62,21.61,553.83,2388.1,9054.14,1.3,47.7,522.03,2388.15,8137.24,8.4515,0.03,393,2388,100.0,38.8,23.3238,96.92584822394727,96.92584822394727,92,92,0.0009924625228653527,39.69850091461411,8000,40000,0.2,-7960.301499085386,False,Continue / monitor
49,303,-0.0055,0.0001,100.0,518.67,643.21,1607.55,1425.3,14.62,21.61,552.0,2388.21,9052.48,1.3,48.01,520.27,2388.22,8132.46,8.5168,0.03,396,2388,100.0,38.56,23.1167,9.618341530954648,9.618341530954648,21,21,0.9447388833363967,37789.555333455864,8000,40000,0.2,29789.555333455864,True,Preventative maintenance
50,74,0.0,0.0004,100.0,518.67,642.66,1582.59,1397.65,14.62,21.61,553.18,2388.05,9066.84,1.3,47.5,521.91,2388.06,8142.07,8.4719,0.03,393,2388,100.0,38.98,23.291,105.3978913144882,105.3978913144882,79,79,0.00038543798613497763,15.417519445399105,8000,40000,0.2,-7984.582480554601,False,Continue / monitor
51,144,0.0003,0.0004,100.0,518.67,642.56,1585.08,1406.6,14.62,21.61,553.58,2388.1,9053.37,1.3,47.5,521.25,2388.12,8127.61,8.4577,0.03,394,2388,100.0,38.77,23.3108,113.10703657114384,113.10703657114384,114,114,0.00016294459015728238,6.517783606291295,8000,40000,0.2,-7993.482216393709,False,Continue / monitor
52,189,0.0028,-0.0002,100.0,518.67,643.15,1600.96,1412.05,14.62,21.61,553.19,2388.11,9122.6,1.3,47.55,521.27,2388.07,8192.02,8.4645,0.03,395,2388,100.0,38.66,23.211,25.99522723532988,25.99522723532988,29,29,0.7328965553730103,29315.862214920413,8000,40000,0.2,21315.862214920413,True,Preventative maintenance
53,164,-0.0021,-0.0004,100.0,518.67,642.87,1602.76,1418.18,14.62,21.61,553.09,2388.08,9102.33,1.3,47.75,520.98,2388.05,8180.97,8.4702,0.03,394,2388,100.0,38.64,23.1671,33.65620392674797,33.65620392674797,26,26,0.5383139494012338,21532.557976049353,8000,40000,0.2,13532.557976049353,True,Preventative maintenance
54,121,-0.0019,0.0,100.0,518.67,642.43,1580.89,1399.84,14.62,21.61,555.07,2388.05,9064.43,1.3,47.34,522.28,2387.97,8143.64,8.3926,0.03,392,2388,100.0,38.95,23.4385,122.95014173455549,122.95014173455549,97,97,5.426831011054445e-05,2.170732404421778,8000,40000,0.2,-7997.829267595578,False,Continue / monitor
55,113,-0.0059,0.0002,100.0,518.67,642.2,1585.68,1399.63,14.62,21.61,553.37,2388.09,9056.16,1.3,47.5,521.92,2388.04,8135.62,8.4276,0.03,393,2388,100.0,38.93,23.3438,114.42253605110575,114.42253605110575,137,125,0.0001406785270550225,5.627141082200899,8000,40000,0.2,-7994.372858917799,False,Continue / monitor
56,136,-0.0028,-0.0005,100.0,518.67,643.32,1598.6,1416.85,14.62,21.61,551.45,2388.23,9035.55,1.3,48.02,520.0,2388.23,8116.7,8.5235,0.03,395,2388,100.0,38.51,23.1772,10.787706318694863,10.787706318694863,15,15,0.9375092860735098,37500.37144294039,8000,40000,0.2,29500.37144294039,True,Preventative maintenance
57,160,0.0035,-0.0001,100.0,518.67,642.17,1590.38,1411.95,14.62,21.61,552.43,2388.11,9043.8,1.3,47.59,521.61,2388.19,8131.76,8.4603,0.03,394,2388,100.0,38.77,23.291,97.8100830643464,97.8100830643464,103,103,0.0008991989084904321,35.96795633961728,8000,40000,0.2,-7964.032043660382,False,Continue / monitor
58,176,0.0,0.0005,100.0,518.67,643.01,1596.72,1418.42,14.62,21.61,553.07,2388.24,9058.12,1.3,47.78,521.2,2388.2,8128.82,8.497,0.03,392,2388,100.0,38.46,23.1747,56.760095288323704,56.760095288323704,37,37,0.08110770102849954,3244.3080411399815,8000,40000,0.2,-4755.6919588600185,False,Continue / monitor
59,94,-0.0007,-0.0004,100.0,518.67,642.18,1584.24,1401.21,14.62,21.61,553.72,2388.0,9055.0,1.3,47.08,521.78,2388.05,8140.39,8.4267,0.03,390,2388,100.0,38.92,23.4337,119.52187527684424,119.52187527684424,114,114,7.959000909600631e-05,3.1836003638402524,8000,40000,0.2,-7996.81639963616,False,Continue / monitor
60,147,-0.0003,-0.0003,100.0,518.67,642.86,1592.46,1402.77,14.62,21.61,553.31,2388.12,9054.22,1.3,47.53,521.66,2388.07,8136.13,8.4484,0.03,394,2388,100.0,38.87,23.2971,107.81841162224221,107.81841162224221,100,100,0.00029414535313344463,11.765814125337785,8000,40000,0.2,-7988.234185874662,False,Continue / monitor
61,159,0.0032,0.0002,100.0,518.67,643.29,1603.16,1414.17,14.62,21.61,552.74,2388.16,9065.79,1.3,47.81,520.97,2388.17,8147.51,8.4725,0.03,395,2388,100.0,38.64,23.1314,45.3740766850845,45.3740766850845,21,21,0.23949449969517025,9579.77998780681,8000,40000,0.2,1579.7799878068108,True,Preventative maintenance
62,232,-0.0029,-0.0005,100.0,518.67,642.83,1594.78,1407.86,14.62,21.61,553.81,2388.03,9096.2,1.3,47.52,521.2,2388.06,8162.08,8.4622,0.03,394,2388,100.0,38.75,23.2719,46.51954593394835,46.51954593394835,54,54,0.21696966869080128,8678.786747632052,8000,40000,0.2,678.7867476320516,True,Preventative maintenance
63,155,-0.0019,-0.0003,100.0,518.67,643.26,1592.19,1412.74,14.62,21.61,552.8,2388.19,9052.57,1.3,47.79,521.17,2388.17,8131.3,8.4704,0.03,393,2388,100.0,38.8,23.2344,71.06746767629265,71.06746767629265,72,72,0.017538286432790904,701.5314573116361,8000,40000,0.2,-7298.468542688364,False,Continue / monitor
64,168,0.0012,0.0004,100.0,518.67,643.01,1597.94,1417.14,14.62,21.61,552.05,2388.22,9056.25,1.3,47.73,520.97,2388.13,8133.0,8.4665,0.03,394,2388,100.0,38.61,23.167,54.56001814237328,54.56001814237328,28,28,0.10141327396272387,4056.530958508955,8000,40000,0.2,-3943.469041491045,False,Continue / monitor
65,71,0.0012,0.0,100.0,518.67,641.75,1588.1,1398.17,14.62,21.6,554.39,2388.03,9063.17,1.3,47.1,522.65,2388.03,8153.06,8.424,0.03,392,2388,100.0,39.19,23.327,118.47265277999553,118.47265277999553,128,125,8.948650838533883e-05,3.5794603354135535,8000,40000,0.2,-7996.420539664587,False,Continue / monitor
66,147,-0.0014,-0.0003,100.0,518.67,643.34,1599.38,1422.98,14.62,21.61,552.06,2388.09,9122.3,1.3,47.92,520.75,2388.11,8197.69,8.4838,0.03,396,2388,100.0,38.61,23.0669,14.455919949792252,14.455919949792252,14,14,0.9087469805368311,36349.879221473246,8000,40000,0.2,28349.879221473246,True,Preventative maintenance
67,71,0.0012,0.0001,100.0,518.67,642.39,1593.86,1409.97,14.62,21.61,554.52,2388.12,9046.26,1.3,47.27,521.75,2388.11,8141.98,8.3732,0.03,392,2388,100.0,38.78,23.2914,118.15108367173806,118.15108367173806,77,77,9.275923362763236e-05,3.7103693451052946,8000,40000,0.2,-7996.289630654895,False,Continue / monitor
68,187,-0.0015,-0.0004,100.0,518.67,643.21,1602.07,1427.25,14.62,21.61,552.0,2388.2,9086.59,1.3,48.04,520.47,2388.22,8160.32,8.4867,0.03,396,2388,100.0,38.63,23.1989,13.725883880515802,13.725883880515802,8,8,0.9152881422807659,36611.525691230636,8000,40000,0.2,28611.525691230636,True,Preventative maintenance
69,54,-0.0029,-0.0003,100.0,518.67,642.31,1593.68,1403.96,14.62,21.61,553.66,2388.12,9048.62,1.3,47.37,521.84,2388.16,8128.39,8.4387,0.03,393,2388,100.0,38.95,23.1958,117.24059581996815,117.24059581996815,121,121,0.00010268934833168063,4.107573933267226,8000,40000,0.2,-7995.892426066733,False,Continue / monitor
70,152,0.002,-0.0001,100.0,518.67,642.71,1588.56,1406.49,14.62,21.61,553.01,2388.1,9054.84,1.3,47.67,521.65,2388.11,8133.88,8.4349,0.03,394,2388,100.0,38.85,23.2231,104.81917064066164,104.81917064066164,94,94,0.00041116877016261245,16.446750806504497,8000,40000,0.2,-7983.5532491934955,False,Continue / monitor
71,68,0.0021,0.0003,100.0,518.67,642.52,1585.45,1400.97,14.62,21.61,553.17,2388.01,9068.53,1.3,47.35,522.42,2388.08,8146.19,8.4386,0.03,391,2388,100.0,38.93,23.3188,112.85940852376115,112.85940852376115,118,118,0.00016751422852700077,6.700569141080031,8000,40000,0.2,-7993.29943085892,False,Continue / monitor
72,131,0.0002,-0.0004,100.0,518.67,642.9,1588.49,1410.57,14.62,21.61,553.52,2388.11,9072.03,1.3,47.69,521.47,2388.09,8149.27,8.445,0.03,394,2388,100.0,38.91,23.2905,80.00881603233162,80.00881603233162,50,50,0.006531810979120372,261.2724391648149,8000,40000,0.2,-7738.727560835185,False,Continue / monitor
73,112,0.0056,0.0002,100.0,518.67,642.27,1576.93,1398.62,14.62,21.61,554.41,2388.08,9051.39,1.3,47.25,522.02,2388.05,8136.87,8.4317,0.03,393,2388,100.0,38.95,23.3074,121.66583048541757,121.66583048541757,131,125,6.263994418747267e-05,2.5055977674989065,8000,40000,0.2,-7997.494402232501,False,Continue / monitor
74,137,0.0017,-0.0004,100.0,518.67,642.61,1595.16,1406.15,14.62,21.61,552.44,2388.1,9063.35,1.3,47.54,521.39,2388.07,8139.59,8.4362,0.03,392,2388,100.0,38.79,23.201,100.03580640942464,100.03580640942464,126,125,0.0007013910016283168,28.055640065132675,8000,40000,0.2,-7971.944359934867,False,Continue / monitor
75,88,0.0036,0.0001,100.0,518.67,642.13,1594.47,1403.3,14.62,21.61,554.11,2388.12,9051.28,1.3,47.4,521.52,2388.1,8132.14,8.4316,0.03,392,2388,100.0,38.98,23.4919,119.24388683714585,119.24388683714585,113,113,8.210018708780956e-05,3.2840074835123825,8000,40000,0.2,-7996.715992516488,False,Continue / monitor
76,205,0.0004,0.0002,100.0,518.67,643.14,1603.48,1420.07,14.62,21.61,551.82,2388.18,9114.99,1.3,48.04,520.19,2388.14,8182.45,8.5125,0.03,395,2388,100.0,38.46,23.0737,13.267438564402608,13.267438564402608,10,10,0.9191754679409263,36767.01871763705,8000,40000,0.2,28767.018717637053,True,Preventative maintenance
77,162,-0.0027,0.0003,100.0,518.67,642.79,1593.81,1418.62,14.62,21.61,552.24,2388.25,9045.43,1.3,47.81,520.16,2388.21,8128.16,8.4543,0.03,396,2388,100.0,38.75,23.1712,39.507813501053164,39.507813501053164,34,34,0.377510223632446,15100.40894529784,8000,40000,0.2,7100.408945297841,True,Preventative maintenance
